Run	1464-23					
(lbs/in)	(psi)	(deg)	(lbs)	(lbs/deg)		(lbs)
Spring Rate	P	IA	Nominal Load	CS	CSC	FY-0
403	8	0	200	73	0.363	14
403	8	0	150	81	0.537	15
403	8	0	50	62	1.246	11
403	8	0	250	71	0.285	13
403	8	0	100	79	0.785	15
396	8	2	200	74	0.37	52
396	8	2	150	80	0.535	46
396	8	2	50	56	1.112	15
396	8	2	250	65	0.26	50
396	8	2	100	78	0.778	34
364	8	4	200	66	0.332	83
364	8	4	150	75	0.499	71
364	8	4	50	47	0.945	16
364	8	4	250	55	0.222	84
364	8	4	100	72	0.719	47
408	8	1	200	77	0.387	29
408	8	1	150	81	0.543	28
408	8	1	50	60	1.194	13
408	8	1	250	67	0.266	29
408	8	1	100	77	0.769	25
392	8	3	200	69	0.345	65
392	8	3	150	76	0.508	58
392	8	3	50	52	1.034	16
392	8	3	250	60	0.24	67
392	8	3	100	75	0.754	41
520	12	0	200	106	0.532	15
520	12	0	150	101	0.67	15
520	12	0	50	56	1.122	8
520	12	0	250	106	0.423	14
520	12	0	100	85	0.851	13
512	12	2	200	103	0.516	47
512	12	2	150	95	0.635	37
512	12	2	50	53	1.059	8
512	12	2	250	102	0.409	51
512	12	2	100	79	0.792	23
485	12	4	200	97	0.487	73
485	12	4	150	87	0.583	53
485	12	4	50	47	0.932	10
485	12	4	250	97	0.387	85
485	12	4	100	70	0.703	30
525	12	1	200	105	0.523	28
525	12	1	150	98	0.651	25
525	12	1	50	54	1.085	8
525	12	1	250	104	0.416	30
525	12	1	100	83	0.825	18
494	12	3	200	100	0.502	60
494	12	3	150	92	0.611	46
494	12	3	50	50	0.991	9
494	12	3	250	99	0.397	68
494	12	3	100	75	0.748	28
